date,aoi_id,pai_num,shou_num,zone_id
20200301,aoi_106,6,5,zone_0
20200301,aoi_131,8,4,zone_0
20200301,aoi_14,10,2,zone_0
20200301,aoi_147,4,2,zone_0
20200301,aoi_174,47,204,zone_0
20200301,aoi_197,2,564,zone_0
20200301,aoi_220,45,18,zone_0
20200301,aoi_24,8,6,zone_0
20200301,aoi_243,27,10,zone_0
20200301,aoi_294,25,11,zone_0
20200301,aoi_343,18,4,zone_0
20200301,aoi_356,147,96,zone_0
20200301,aoi_357,9,8,zone_0
20200301,aoi_4,12,8,zone_0
20200301,aoi_425,7,3,zone_0
20200301,aoi_82,3,2,zone_0
20200301,aoi_86,100,106,zone_0
20200301,aoi_94,3,9,zone_0
20200301,aoi_135,11,17,zone_1
20200301,aoi_295,139,83,zone_1
20200301,aoi_321,48,49,zone_1
20200301,aoi_69,27,74,zone_1
20200301,aoi_84,10,67,zone_1
20200301,aoi_103,42,24,zone_10
20200301,aoi_118,26,18,zone_10
20200301,aoi_13,18,12,zone_10
20200301,aoi_215,5,11,zone_10
20200301,aoi_273,4,2,zone_10
20200301,aoi_284,11,23,zone_10
20200301,aoi_298,40,311,zone_10
20200301,aoi_302,6,31,zone_10
20200301,aoi_306,77,50,zone_10
20200301,aoi_108,32,4,zone_11
20200301,aoi_114,32,22,zone_11
20200301,aoi_256,41,18,zone_11
20200301,aoi_272,36,18,zone_11
20200301,aoi_33,4,10,zone_11
20200301,aoi_36,21,12,zone_11
20200301,aoi_40,17,15,zone_11
20200301,aoi_400,26,17,zone_11
20200301,aoi_85,35,48,zone_11
20200301,aoi_87,4,5,zone_11
20200301,aoi_109,5,4,zone_12
20200301,aoi_115,14,7,zone_12
20200301,aoi_124,5,7,zone_12
20200301,aoi_15,10,2,zone_12
20200301,aoi_187,2,3,zone_12
20200301,aoi_205,23,5,zone_12
20200301,aoi_211,6,19,zone_12
20200301,aoi_231,8,4,zone_12
20200301,aoi_239,5,2,zone_12
20200301,aoi_249,32,20,zone_12
20200301,aoi_257,191,51,zone_12
20200301,aoi_26,76,32,zone_12
20200301,aoi_260,30,10,zone_12
20200301,aoi_339,69,30,zone_12
20200301,aoi_383,14,7,zone_12
20200301,aoi_418,33,6,zone_12
20200301,aoi_157,46,46,zone_13
20200301,aoi_167,5,6,zone_13
20200301,aoi_193,42,15,zone_13
