date,zone_id,pai_num,shou_num,aoi_num,aoi_type,aoi_area
20200826,0,0,0,22,6,288830.0603
20200826,1,0,0,10,5,180600.8644
20200826,2,0,0,7,4,360342.626
20200826,3,0,0,3,2,97953.121
20200826,4,0,0,20,8,392193.5197
20200826,5,0,0,10,3,58803.83569
20200826,6,0,0,16,4,365653.4691
20200826,7,0,0,19,6,1299344.45
20200826,8,0,0,16,8,275523.266
20200826,9,0,0,15,4,433650.5774
20200826,10,0,0,9,3,31913.93217
20200826,11,0,0,11,4,71794.8842
20200826,12,0,0,18,6,287706.2678
20200826,13,0,0,11,4,228431.6283
20200826,14,0,0,4,1,23778.3705
20200826,15,0,0,14,8,151730.7297
20200826,16,0,0,10,3,215623.9812
20200826,17,0,0,60,7,1694363.626
20200826,18,0,0,24,6,317384.4481
20200826,19,0,0,14,5,414835.9675
20200826,20,0,0,14,4,180541.6395
20200826,21,0,0,8,3,149347.454
20200826,22,0,0,5,3,68223.422
20200826,23,0,0,1,1,43777
20200826,24,0,0,5,3,19409.26533
20200826,25,0,0,23,5,330315.4507
20200826,26,0,0,24,6,997292.888
20200826,27,0,0,3,2,8859.7887
20200826,28,0,0,12,4,244104.3691
20200826,29,0,0,21,7,138674.1693
20200827,0,0,0,22,6,288830.0603
20200827,1,0,0,10,5,180600.8644
20200827,2,0,0,7,4,360342.626
20200827,3,0,0,3,2,97953.121
20200827,4,0,0,20,8,392193.5197
20200827,5,0,0,10,3,58803.83569
20200827,6,0,0,16,4,365653.4691
20200827,7,0,0,19,6,1299344.45
20200827,8,0,0,16,8,275523.266
20200827,9,0,0,15,4,433650.5774
20200827,10,0,0,9,3,31913.93217
20200827,11,0,0,11,4,71794.8842
20200827,12,0,0,18,6,287706.2678
20200827,13,0,0,11,4,228431.6283
20200827,14,0,0,4,1,23778.3705
20200827,15,0,0,14,8,151730.7297
20200827,16,0,0,10,3,215623.9812
20200827,17,0,0,60,7,1694363.626
20200827,18,0,0,24,6,317384.4481
20200827,19,0,0,14,5,414835.9675
20200827,20,0,0,14,4,180541.6395
20200827,21,0,0,8,3,149347.454
20200827,22,0,0,5,3,68223.422
20200827,23,0,0,1,1,43777
20200827,24,0,0,5,3,19409.26533
20200827,25,0,0,23,5,330315.4507
20200827,26,0,0,24,6,997292.888
20200827,27,0,0,3,2,8859.7887
20200827,28,0,0,12,4,244104.3691
20200827,29,0,0,21,7,138674.1693
20200828,0,0,0,22,6,288830.0603
20200828,1,0,0,10,5,180600.8644
20200828,2,0,0,7,4,360342.626
20200828,3,0,0,3,2,97953.121
20200828,4,0,0,20,8,392193.5197
20200828,5,0,0,10,3,58803.83569
20200828,6,0,0,16,4,365653.4691
20200828,7,0,0,19,6,1299344.45
20200828,8,0,0,16,8,275523.266
20200828,9,0,0,15,4,433650.5774
20200828,10,0,0,9,3,31913.93217
20200828,11,0,0,11,4,71794.8842
20200828,12,0,0,18,6,287706.2678
20200828,13,0,0,11,4,228431.6283
20200828,14,0,0,4,1,23778.3705
20200828,15,0,0,14,8,151730.7297
20200828,16,0,0,10,3,215623.9812
20200828,17,0,0,60,7,1694363.626
20200828,18,0,0,24,6,317384.4481
20200828,19,0,0,14,5,414835.9675
20200828,20,0,0,14,4,180541.6395
20200828,21,0,0,8,3,149347.454
20200828,22,0,0,5,3,68223.422
20200828,23,0,0,1,1,43777
20200828,24,0,0,5,3,19409.26533
20200828,25,0,0,23,5,330315.4507
20200828,26,0,0,24,6,997292.888
20200828,27,0,0,3,2,8859.7887
20200828,28,0,0,12,4,244104.3691
20200828,29,0,0,21,7,138674.1693
