date,zone_id,pai_num,shou_num,aoi_num,aoi_type,aoi_area
20200820,0,0,0,22,6,288830.0603
20200820,1,0,0,10,5,180600.8644
20200820,2,0,0,7,4,360342.626
20200820,3,0,0,3,2,97953.121
20200820,4,0,0,20,8,392193.5197
20200820,5,0,0,10,3,58803.83569
20200820,6,0,0,16,4,365653.4691
20200820,7,0,0,19,6,1299344.45
20200820,8,0,0,16,8,275523.266
20200820,9,0,0,15,4,433650.5774
20200820,10,0,0,9,3,31913.93217
20200820,11,0,0,11,4,71794.8842
20200820,12,0,0,18,6,287706.2678
20200820,13,0,0,11,4,228431.6283
20200820,14,0,0,4,1,23778.3705
20200820,15,0,0,14,8,151730.7297
20200820,16,0,0,10,3,215623.9812
20200820,17,0,0,60,7,1694363.626
20200820,18,0,0,24,6,317384.4481
20200820,19,0,0,14,5,414835.9675
20200820,20,0,0,14,4,180541.6395
20200820,21,0,0,8,3,149347.454
20200820,22,0,0,5,3,68223.422
20200820,23,0,0,1,1,43777
20200820,24,0,0,5,3,19409.26533
20200820,25,0,0,23,5,330315.4507
20200820,26,0,0,24,6,997292.888
20200820,27,0,0,3,2,8859.7887
20200820,28,0,0,12,4,244104.3691
20200820,29,0,0,21,7,138674.1693
20200821,0,0,0,22,6,288830.0603
20200821,1,0,0,10,5,180600.8644
20200821,2,0,0,7,4,360342.626
20200821,3,0,0,3,2,97953.121
20200821,4,0,0,20,8,392193.5197
20200821,5,0,0,10,3,58803.83569
20200821,6,0,0,16,4,365653.4691
20200821,7,0,0,19,6,1299344.45
20200821,8,0,0,16,8,275523.266
20200821,9,0,0,15,4,433650.5774
20200821,10,0,0,9,3,31913.93217
20200821,11,0,0,11,4,71794.8842
20200821,12,0,0,18,6,287706.2678
20200821,13,0,0,11,4,228431.6283
20200821,14,0,0,4,1,23778.3705
20200821,15,0,0,14,8,151730.7297
20200821,16,0,0,10,3,215623.9812
20200821,17,0,0,60,7,1694363.626
20200821,18,0,0,24,6,317384.4481
20200821,19,0,0,14,5,414835.9675
20200821,20,0,0,14,4,180541.6395
20200821,21,0,0,8,3,149347.454
20200821,22,0,0,5,3,68223.422
20200821,23,0,0,1,1,43777
20200821,24,0,0,5,3,19409.26533
20200821,25,0,0,23,5,330315.4507
20200821,26,0,0,24,6,997292.888
20200821,27,0,0,3,2,8859.7887
20200821,28,0,0,12,4,244104.3691
20200821,29,0,0,21,7,138674.1693
20200822,0,0,0,22,6,288830.0603
20200822,1,0,0,10,5,180600.8644
20200822,2,0,0,7,4,360342.626
20200822,3,0,0,3,2,97953.121
20200822,4,0,0,20,8,392193.5197
20200822,5,0,0,10,3,58803.83569
20200822,6,0,0,16,4,365653.4691
20200822,7,0,0,19,6,1299344.45
20200822,8,0,0,16,8,275523.266
20200822,9,0,0,15,4,433650.5774
20200822,10,0,0,9,3,31913.93217
20200822,11,0,0,11,4,71794.8842
20200822,12,0,0,18,6,287706.2678
20200822,13,0,0,11,4,228431.6283
20200822,14,0,0,4,1,23778.3705
20200822,15,0,0,14,8,151730.7297
20200822,16,0,0,10,3,215623.9812
20200822,17,0,0,60,7,1694363.626
20200822,18,0,0,24,6,317384.4481
20200822,19,0,0,14,5,414835.9675
20200822,20,0,0,14,4,180541.6395
20200822,21,0,0,8,3,149347.454
20200822,22,0,0,5,3,68223.422
20200822,23,0,0,1,1,43777
20200822,24,0,0,5,3,19409.26533
20200822,25,0,0,23,5,330315.4507
20200822,26,0,0,24,6,997292.888
20200822,27,0,0,3,2,8859.7887
20200822,28,0,0,12,4,244104.3691
20200822,29,0,0,21,7,138674.1693
