date,zone_id,pai_num,shou_num,aoi_num,aoi_type,aoi_area
20200829,0,0,0,22,6,288830.0603
20200829,1,0,0,10,5,180600.8644
20200829,2,0,0,7,4,360342.626
20200829,3,0,0,3,2,97953.121
20200829,4,0,0,20,8,392193.5197
20200829,5,0,0,10,3,58803.83569
20200829,6,0,0,16,4,365653.4691
20200829,7,0,0,19,6,1299344.45
20200829,8,0,0,16,8,275523.266
20200829,9,0,0,15,4,433650.5774
20200829,10,0,0,9,3,31913.93217
20200829,11,0,0,11,4,71794.8842
20200829,12,0,0,18,6,287706.2678
20200829,13,0,0,11,4,228431.6283
20200829,14,0,0,4,1,23778.3705
20200829,15,0,0,14,8,151730.7297
20200829,16,0,0,10,3,215623.9812
20200829,17,0,0,60,7,1694363.626
20200829,18,0,0,24,6,317384.4481
20200829,19,0,0,14,5,414835.9675
20200829,20,0,0,14,4,180541.6395
20200829,21,0,0,8,3,149347.454
20200829,22,0,0,5,3,68223.422
20200829,23,0,0,1,1,43777
20200829,24,0,0,5,3,19409.26533
20200829,25,0,0,23,5,330315.4507
20200829,26,0,0,24,6,997292.888
20200829,27,0,0,3,2,8859.7887
20200829,28,0,0,12,4,244104.3691
20200829,29,0,0,21,7,138674.1693
20200830,0,0,0,22,6,288830.0603
20200830,1,0,0,10,5,180600.8644
20200830,2,0,0,7,4,360342.626
20200830,3,0,0,3,2,97953.121
20200830,4,0,0,20,8,392193.5197
20200830,5,0,0,10,3,58803.83569
20200830,6,0,0,16,4,365653.4691
20200830,7,0,0,19,6,1299344.45
20200830,8,0,0,16,8,275523.266
20200830,9,0,0,15,4,433650.5774
20200830,10,0,0,9,3,31913.93217
20200830,11,0,0,11,4,71794.8842
20200830,12,0,0,18,6,287706.2678
20200830,13,0,0,11,4,228431.6283
20200830,14,0,0,4,1,23778.3705
20200830,15,0,0,14,8,151730.7297
20200830,16,0,0,10,3,215623.9812
20200830,17,0,0,60,7,1694363.626
20200830,18,0,0,24,6,317384.4481
20200830,19,0,0,14,5,414835.9675
20200830,20,0,0,14,4,180541.6395
20200830,21,0,0,8,3,149347.454
20200830,22,0,0,5,3,68223.422
20200830,23,0,0,1,1,43777
20200830,24,0,0,5,3,19409.26533
20200830,25,0,0,23,5,330315.4507
20200830,26,0,0,24,6,997292.888
20200830,27,0,0,3,2,8859.7887
20200830,28,0,0,12,4,244104.3691
20200830,29,0,0,21,7,138674.1693
20200831,0,0,0,22,6,288830.0603
20200831,1,0,0,10,5,180600.8644
20200831,2,0,0,7,4,360342.626
20200831,3,0,0,3,2,97953.121
20200831,4,0,0,20,8,392193.5197
20200831,5,0,0,10,3,58803.83569
20200831,6,0,0,16,4,365653.4691
20200831,7,0,0,19,6,1299344.45
20200831,8,0,0,16,8,275523.266
20200831,9,0,0,15,4,433650.5774
20200831,10,0,0,9,3,31913.93217
20200831,11,0,0,11,4,71794.8842
20200831,12,0,0,18,6,287706.2678
20200831,13,0,0,11,4,228431.6283
20200831,14,0,0,4,1,23778.3705
20200831,15,0,0,14,8,151730.7297
20200831,16,0,0,10,3,215623.9812
20200831,17,0,0,60,7,1694363.626
20200831,18,0,0,24,6,317384.4481
20200831,19,0,0,14,5,414835.9675
20200831,20,0,0,14,4,180541.6395
20200831,21,0,0,8,3,149347.454
20200831,22,0,0,5,3,68223.422
20200831,23,0,0,1,1,43777
20200831,24,0,0,5,3,19409.26533
20200831,25,0,0,23,5,330315.4507
20200831,26,0,0,24,6,997292.888
20200831,27,0,0,3,2,8859.7887
20200831,28,0,0,12,4,244104.3691
20200831,29,0,0,21,7,138674.1693
